,code,event,finished,finished_provisional,id,kickoff_time,minutes,provisional_start_time,started,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty,pulse_id
0,2292810,1,TRUE,TRUE,1,2022-08-05T19:00:00Z,90,FALSE,TRUE,1,2,7,0,4,2,74911
1,2292813,1,TRUE,TRUE,4,2022-08-06T11:30:00Z,90,FALSE,TRUE,12,2,9,2,4,2,74914
2,2292811,1,TRUE,TRUE,2,2022-08-06T14:00:00Z,90,FALSE,TRUE,2,0,3,2,2,2,74912
3,2292814,1,TRUE,TRUE,5,2022-08-06T14:00:00Z,90,FALSE,TRUE,20,1,11,2,2,2,74915
4,2292816,1,TRUE,TRUE,7,2022-08-06T14:00:00Z,90,FALSE,TRUE,16,0,15,2,2,4,74917
5,2292817,1,TRUE,TRUE,8,2022-08-06T14:00:00Z,90,FALSE,TRUE,17,1,18,4,2,4,74918
6,2292812,1,TRUE,TRUE,3,2022-08-06T16:30:00Z,90,FALSE,TRUE,6,1,8,0,3,2,74913
7,2292815,1,TRUE,TRUE,6,2022-08-07T13:00:00Z,90,FALSE,TRUE,4,2,10,2,3,3,74916
8,2292818,1,TRUE,TRUE,9,2022-08-07T13:00:00Z,90,FALSE,TRUE,5,2,14,1,3,4,74919
9,2292819,1,TRUE,TRUE,10,2022-08-07T15:30:00Z,90,FALSE,TRUE,13,2,19,0,5,3,74920
10,2292821,2,TRUE,TRUE,12,2022-08-13T11:30:00Z,90,FALSE,TRUE,8,1,2,2,2,2,74922
11,2292820,2,TRUE,TRUE,11,2022-08-13T14:00:00Z,90,FALSE,TRUE,10,2,1,4,3,4,74921
12,2292823,2,TRUE,TRUE,14,2022-08-13T14:00:00Z,90,FALSE,TRUE,15,0,5,0,3,3,74924
13,2292826,2,TRUE,TRUE,17,2022-08-13T14:00:00Z,90,FALSE,TRUE,3,0,13,4,2,5,74927
14,2292828,2,TRUE,TRUE,19,2022-08-13T14:00:00Z,90,FALSE,TRUE,11,2,17,2,2,2,74929
15,2292829,2,TRUE,TRUE,20,2022-08-13T14:00:00Z,90,FALSE,TRUE,9,0,20,0,2,2,74930
16,2292822,2,TRUE,TRUE,13,2022-08-13T16:30:00Z,90,FALSE,TRUE,14,0,4,4,3,3,74923
17,2292827,2,TRUE,TRUE,18,2022-08-14T13:00:00Z,90,FALSE,TRUE,19,0,16,1,2,2,74928
18,2292824,2,TRUE,TRUE,15,2022-08-14T15:30:00Z,90,FALSE,TRUE,18,2,6,2,3,4,74925
19,2292825,2,TRUE,TRUE,16,2022-08-15T19:00:00Z,90,FALSE,TRUE,7,1,12,1,2,4,74926
20,2292838,3,TRUE,TRUE,29,2022-08-20T11:30:00Z,90,FALSE,TRUE,20,0,18,1,2,4,74939
21,2292831,3,TRUE,TRUE,22,2022-08-20T14:00:00Z,90,FALSE,TRUE,2,1,7,3,2,2,74932
22,2292832,3,TRUE,TRUE,23,2022-08-20T14:00:00Z,90,FALSE,TRUE,16,1,8,1,2,2,74933
23,2292833,3,TRUE,TRUE,24,2022-08-20T14:00:00Z,90,FALSE,TRUE,4,2,9,3,3,2,74934
24,2292835,3,TRUE,TRUE,26,2022-08-20T14:00:00Z,90,FALSE,TRUE,17,2,10,1,2,3,74936
25,2292830,3,TRUE,TRUE,21,2022-08-20T16:30:00Z,90,FALSE,TRUE,1,3,3,0,4,2,74931
26,2292834,3,TRUE,TRUE,25,2022-08-21T13:00:00Z,90,FALSE,TRUE,6,0,11,3,3,2,74935
27,2292839,3,TRUE,TRUE,30,2022-08-21T13:00:00Z,90,FALSE,TRUE,5,2,19,0,3,3,74940
28,2292837,3,TRUE,TRUE,28,2022-08-21T15:30:00Z,90,FALSE,TRUE,13,3,15,3,5,4,74938
29,2292836,3,TRUE,TRUE,27,2022-08-22T19:00:00Z,90,FALSE,TRUE,12,1,14,2,4,4,74937
30,2292848,4,TRUE,TRUE,39,2022-08-27T11:30:00Z,90,FALSE,TRUE,14,1,17,0,3,2,74949
31,2292842,4,TRUE,TRUE,33,2022-08-27T14:00:00Z,90,FALSE,TRUE,8,1,4,1,2,3,74943
32,2292843,4,TRUE,TRUE,34,2022-08-27T14:00:00Z,90,FALSE,TRUE,11,0,5,1,2,3,74944
33,2292844,4,TRUE,TRUE,35,2022-08-27T14:00:00Z,90,FALSE,TRUE,10,1,6,2,3,4,74945
34,2292845,4,TRUE,TRUE,36,2022-08-27T14:00:00Z,90,FALSE,TRUE,3,0,12,9,2,4,74946
35,2292846,4,TRUE,TRUE,37,2022-08-27T14:00:00Z,90,FALSE,TRUE,7,2,13,4,2,5,74947
36,2292840,4,TRUE,TRUE,31,2022-08-27T16:30:00Z,90,FALSE,TRUE,9,1,1,2,2,4,74941
37,2292841,4,TRUE,TRUE,32,2022-08-28T13:00:00Z,90,FALSE,TRUE,19,1,2,0,2,2,74942
38,2292849,4,TRUE,TRUE,40,2022-08-28T13:00:00Z,90,FALSE,TRUE,15,1,20,1,3,2,74950
39,2292847,4,TRUE,TRUE,38,2022-08-28T15:30:00Z,90,FALSE,TRUE,18,2,16,0,3,2,74948
40,2292852,5,TRUE,TRUE,43,2022-08-30T18:30:00Z,90,FALSE,TRUE,4,1,7,1,3,2,74953
41,2292853,5,TRUE,TRUE,44,2022-08-30T18:30:00Z,90,FALSE,TRUE,5,1,9,2,3,2,74954
42,2292859,5,TRUE,TRUE,50,2022-08-30T18:45:00Z,90,FALSE,TRUE,6,1,17,2,3,2,74960
43,2292854,5,TRUE,TRUE,45,2022-08-30T19:00:00Z,90,FALSE,TRUE,8,1,11,1,2,2,74955
44,2292851,5,TRUE,TRUE,41,2022-08-31T18:30:00Z,90,FALSE,TRUE,2,1,1,2,2,4,74951
45,2292850,5,TRUE,TRUE,42,2022-08-31T18:30:00Z,90,FALSE,TRUE,20,0,3,0,2,2,74952
46,2292858,5,TRUE,TRUE,49,2022-08-31T18:30:00Z,90,FALSE,TRUE,16,0,13,6,2,5,74959
47,2292856,5,TRUE,TRUE,47,2022-08-31T18:45:00Z,90,FALSE,TRUE,18,1,19,1,3,3,74957
48,2292857,5,TRUE,TRUE,48,2022-08-31T19:00:00Z,90,FALSE,TRUE,15,1,12,2,3,4,74958
49,2292855,5,TRUE,TRUE,46,2022-09-01T19:00:00Z,90,FALSE,TRUE,14,1,10,0,3,3,74956
50,2292864,6,TRUE,TRUE,55,2022-09-03T11:30:00Z,90,FALSE,TRUE,12,0,8,0,4,2,74965
51,2292861,6,TRUE,TRUE,52,2022-09-03T14:00:00Z,90,FALSE,TRUE,11,2,4,5,2,3,74962
52,2292863,6,TRUE,TRUE,54,2022-09-03T14:00:00Z,90,FALSE,TRUE,19,1,6,2,2,4,74964
53,2292866,6,TRUE,TRUE,57,2022-09-03T14:00:00Z,90,FALSE,TRUE,7,0,15,0,2,4,74967
54,2292867,6,TRUE,TRUE,58,2022-09-03T14:00:00Z,90,FALSE,TRUE,3,3,16,2,2,2,74968
55,2292868,6,TRUE,TRUE,59,2022-09-03T14:00:00Z,90,FALSE,TRUE,9,1,18,2,2,4,74969
56,2292869,6,TRUE,TRUE,60,2022-09-03T14:00:00Z,90,FALSE,TRUE,17,0,20,1,2,2,74970
57,2292860,6,TRUE,TRUE,51,2022-09-03T16:30:00Z,90,FALSE,TRUE,13,1,2,1,5,2,74961
58,2292862,6,TRUE,TRUE,53,2022-09-04T13:00:00Z,90,FALSE,TRUE,10,2,5,5,3,3,74963
59,2292865,6,TRUE,TRUE,56,2022-09-04T15:30:00Z,90,FALSE,TRUE,1,1,14,3,4,4,74966
60,2292880,8,TRUE,TRUE,71,2022-09-16T19:00:00Z,90,FALSE,TRUE,17,0,2,1,2,2,74981
61,2292887,8,TRUE,TRUE,78,2022-09-16T19:00:00Z,90,FALSE,TRUE,9,3,16,2,2,2,74988
62,2292889,8,TRUE,TRUE,80,2022-09-17T11:30:00Z,90,FALSE,TRUE,13,3,20,0,5,2,74990
63,2292886,8,TRUE,TRUE,77,2022-09-17T14:00:00Z,90,FALSE,TRUE,3,1,15,1,2,4,74987
64,2292888,8,TRUE,TRUE,79,2022-09-17T16:30:00Z,90,FALSE,TRUE,10,2,18,6,3,4,74989
65,2292881,8,TRUE,TRUE,72,2022-09-18T11:00:00Z,90,FALSE,TRUE,1,3,4,0,4,3,74982
66,2292884,8,TRUE,TRUE,75,2022-09-18T13:15:00Z,90,FALSE,TRUE,19,0,8,1,2,2,74985
67,2292891,9,TRUE,TRUE,81,2022-10-01T11:30:00Z,90,FALSE,TRUE,18,1,1,3,3,4,74991
68,2292890,9,TRUE,TRUE,82,2022-10-01T14:00:00Z,90,FALSE,TRUE,4,0,3,0,3,2,74992
69,2292892,9,TRUE,TRUE,83,2022-10-01T14:00:00Z,90,FALSE,TRUE,6,2,7,1,3,2,74993
70,2292893,9,TRUE,TRUE,84,2022-10-01T14:00:00Z,90,FALSE,TRUE,15,4,9,1,3,2,74994
71,2292896,9,TRUE,TRUE,87,2022-10-01T14:00:00Z,90,FALSE,TRUE,5,3,12,3,3,4,74997
72,2292898,9,TRUE,TRUE,89,2022-10-01T14:00:00Z,90,FALSE,TRUE,8,2,17,1,2,2,74999
73,2292899,9,TRUE,TRUE,90,2022-10-01T16:30:00Z,90,FALSE,TRUE,20,0,19,2,2,3,75000
74,2292897,9,TRUE,TRUE,88,2022-10-02T13:00:00Z,90,FALSE,TRUE,14,3,13,6,3,5,74998
75,2292894,9,TRUE,TRUE,85,2022-10-02T15:30:00Z,90,FALSE,TRUE,2,0,11,0,2,2,74995
76,2292895,9,TRUE,TRUE,86,2022-10-03T19:00:00Z,90,FALSE,TRUE,16,0,10,4,2,3,74996
77,2292900,10,TRUE,TRUE,92,2022-10-08T14:00:00Z,90,FALSE,TRUE,10,1,3,2,3,2,75002
78,2292903,10,TRUE,TRUE,94,2022-10-08T14:00:00Z,90,FALSE,TRUE,20,0,6,3,2,4,75004
79,2292906,10,TRUE,TRUE,97,2022-10-08T14:00:00Z,90,FALSE,TRUE,17,0,13,4,2,5,75007
80,2292907,10,TRUE,TRUE,98,2022-10-08T14:00:00Z,90,FALSE,TRUE,4,1,15,5,3,4,75008
81,2292902,10,TRUE,TRUE,93,2022-10-08T16:30:00Z,90,FALSE,TRUE,18,1,5,0,3,3,75003
82,2292904,10,TRUE,TRUE,95,2022-10-09T13:00:00Z,90,FALSE,TRUE,11,1,7,2,2,2,75005
83,2292909,10,TRUE,TRUE,100,2022-10-09T13:00:00Z,90,FALSE,TRUE,9,1,19,3,2,3,75010
84,2292901,10,TRUE,TRUE,91,2022-10-09T15:30:00Z,90,FALSE,TRUE,12,2,1,3,4,4,75001
85,2292905,10,TRUE,TRUE,96,2022-10-09T18:00:00Z,90,FALSE,TRUE,14,2,8,1,3,2,75006
86,2292908,10,TRUE,TRUE,99,2022-10-10T19:00:00Z,90,FALSE,TRUE,2,1,16,1,2,2,75009
87,2292911,11,TRUE,TRUE,102,2022-10-14T19:00:00Z,90,FALSE,TRUE,5,0,4,2,3,3,75012
88,2292914,11,TRUE,TRUE,105,2022-10-15T11:30:00Z,90,FALSE,TRUE,7,0,10,0,2,3,75015
89,2292912,11,TRUE,TRUE,103,2022-10-15T14:00:00Z,90,FALSE,TRUE,3,2,9,2,2,2,75013
90,2292919,11,TRUE,TRUE,110,2022-10-15T14:00:00Z,90,FALSE,TRUE,16,0,20,1,2,2,75020
91,2292918,11,TRUE,TRUE,109,2022-10-15T16:30:00Z,90,FALSE,TRUE,8,0,18,2,2,4,75019
92,2292910,11,TRUE,TRUE,101,2022-10-16T13:00:00Z,90,FALSE,TRUE,6,2,2,0,3,2,75011
93,2292913,11,TRUE,TRUE,104,2022-10-16T13:00:00Z,90,FALSE,TRUE,1,1,11,0,4,2,75014
94,2292916,11,TRUE,TRUE,107,2022-10-16T13:00:00Z,90,FALSE,TRUE,15,0,14,0,3,4,75017
95,2292917,11,TRUE,TRUE,108,2022-10-16T13:00:00Z,90,FALSE,TRUE,19,1,17,1,2,2,75018
96,2292915,11,TRUE,TRUE,106,2022-10-16T15:30:00Z,90,FALSE,TRUE,13,0,12,1,5,4,75016
97,2292923,12,TRUE,TRUE,114,2022-10-18T18:30:00Z,90,FALSE,TRUE,16,0,5,0,2,3,75024
98,2292924,12,TRUE,TRUE,115,2022-10-18T19:15:00Z,90,FALSE,TRUE,20,1,7,2,2,2,75025
99,2292920,12,TRUE,TRUE,112,2022-10-19T18:30:00Z,90,FALSE,TRUE,17,1,3,0,2,2,75022
100,2292922,12,TRUE,TRUE,113,2022-10-19T18:30:00Z,90,FALSE,TRUE,6,0,4,0,3,3,75023
101,2292927,12,TRUE,TRUE,118,2022-10-19T18:30:00Z,90,FALSE,TRUE,19,0,12,1,2,4,75028
102,2292929,12,TRUE,TRUE,120,2022-10-19T18:30:00Z,90,FALSE,TRUE,8,0,15,1,2,4,75030
103,2292928,12,TRUE,TRUE,119,2022-10-19T19:15:00Z,90,FALSE,TRUE,18,0,14,2,3,4,75029
104,2292925,12,TRUE,TRUE,116,2022-10-20T18:30:00Z,90,FALSE,TRUE,2,0,9,3,2,2,75026
105,2292926,12,TRUE,TRUE,117,2022-10-20T19:15:00Z,90,FALSE,TRUE,11,0,10,2,2,3,75027
106,2292935,13,TRUE,TRUE,126,2022-10-22T11:30:00Z,90,FALSE,TRUE,12,0,16,1,4,2,75036
107,2292932,13,TRUE,TRUE,123,2022-10-22T14:00:00Z,90,FALSE,TRUE,7,0,8,3,2,2,75033
108,2292934,13,TRUE,TRUE,125,2022-10-22T14:00:00Z,90,FALSE,TRUE,5,1,13,3,3,5,75035
109,2292931,13,TRUE,TRUE,122,2022-10-22T16:30:00Z,90,FALSE,TRUE,14,1,6,1,3,4,75032
110,2292930,13,TRUE,TRUE,121,2022-10-23T13:00:00Z,90,FALSE,TRUE,4,0,2,4,3,2,75031
111,2292933,13,TRUE,TRUE,124,2022-10-23T13:00:00Z,90,FALSE,TRUE,9,3,11,2,2,2,75034
112,2292936,13,TRUE,TRUE,127,2022-10-23T13:00:00Z,90,FALSE,TRUE,1,1,17,1,4,2,75037
113,2292939,13,TRUE,TRUE,130,2022-10-23T13:00:00Z,90,FALSE,TRUE,10,4,20,0,3,2,75040
114,2292937,13,TRUE,TRUE,128,2022-10-23T15:30:00Z,90,FALSE,TRUE,15,2,18,1,3,4,75038
115,2292938,13,TRUE,TRUE,129,2022-10-24T19:00:00Z,90,FALSE,TRUE,3,0,19,2,2,3,75039
116,2292946,14,TRUE,TRUE,137,2022-10-29T11:30:00Z,90,FALSE,TRUE,13,1,10,0,5,3,75047
117,2292940,14,TRUE,TRUE,132,2022-10-29T14:00:00Z,90,FALSE,TRUE,18,3,3,2,3,2,75042
118,2292942,14,TRUE,TRUE,133,2022-10-29T14:00:00Z,90,FALSE,TRUE,20,1,4,1,2,3,75043
119,2292943,14,TRUE,TRUE,134,2022-10-29T14:00:00Z,90,FALSE,TRUE,6,1,5,4,3,3,75044
120,2292944,14,TRUE,TRUE,135,2022-10-29T14:00:00Z,90,FALSE,TRUE,17,0,7,1,2,2,75045
121,2292949,14,TRUE,TRUE,140,2022-10-29T14:00:00Z,90,FALSE,TRUE,2,0,15,4,2,4,75050
122,2292945,14,TRUE,TRUE,136,2022-10-29T16:30:00Z,90,FALSE,TRUE,8,0,9,0,2,2,75046
123,2292947,14,TRUE,TRUE,138,2022-10-29T18:45:00Z,90,FALSE,TRUE,11,2,12,1,2,4,75048
124,2292941,14,TRUE,TRUE,131,2022-10-30T14:00:00Z,90,FALSE,TRUE,16,0,1,5,2,4,75041
125,2292948,14,TRUE,TRUE,139,2022-10-30T16:15:00Z,90,FALSE,TRUE,19,0,14,1,2,4,75049
126,2292953,15,TRUE,TRUE,144,2022-11-05T15:00:00Z,90,FALSE,TRUE,3,3,11,4,2,2,75054
127,2292954,15,TRUE,TRUE,145,2022-11-05T15:00:00Z,90,FALSE,TRUE,9,1,13,2,2,5,75055
128,2292955,15,TRUE,TRUE,146,2022-11-05T15:00:00Z,90,FALSE,TRUE,4,2,16,2,3,2,75056
129,2292959,15,TRUE,TRUE,150,2022-11-05T15:00:00Z,90,FALSE,TRUE,5,3,20,2,3,2,75060
130,2292952,15,TRUE,TRUE,143,2022-11-05T17:30:00Z,90,FALSE,TRUE,10,2,8,0,3,2,75053
131,2292951,15,TRUE,TRUE,142,2022-11-06T12:00:00Z,90,FALSE,TRUE,1,1,6,0,4,4,75052
132,2292950,15,TRUE,TRUE,141,2022-11-06T14:00:00Z,90,FALSE,TRUE,14,1,2,3,3,2,75051
133,2292956,15,TRUE,TRUE,147,2022-11-06T14:00:00Z,90,FALSE,TRUE,15,4,17,1,3,2,75057
134,2292958,15,TRUE,TRUE,149,2022-11-06T14:00:00Z,90,FALSE,TRUE,7,2,19,1,2,3,75059
135,2292957,15,TRUE,TRUE,148,2022-11-06T16:30:00Z,90,FALSE,TRUE,12,2,18,1,4,4,75058
136,2292964,16,TRUE,TRUE,155,2022-11-12T12:30:00Z,90,FALSE,TRUE,4,2,13,1,3,5,75065
137,2292960,16,TRUE,TRUE,151,2022-11-12T15:00:00Z,90,FALSE,TRUE,8,0,3,3,2,2,75061
138,2292963,16,TRUE,TRUE,154,2022-11-12T15:00:00Z,90,FALSE,TRUE,17,1,12,3,2,4,75064
139,2292966,16,TRUE,TRUE,157,2022-11-12T15:00:00Z,90,FALSE,TRUE,7,0,16,1,2,2,75067
140,2292967,16,TRUE,TRUE,158,2022-11-12T15:00:00Z,90,FALSE,TRUE,11,3,18,4,2,4,75068
141,2292968,16,TRUE,TRUE,159,2022-11-12T15:00:00Z,90,FALSE,TRUE,10,2,19,0,3,3,75069
142,2292965,16,TRUE,TRUE,156,2022-11-12T17:30:00Z,90,FALSE,TRUE,6,0,15,1,3,4,75066
143,2292969,16,TRUE,TRUE,160,2022-11-12T19:45:00Z,90,FALSE,TRUE,1,2,20,0,4,2,75070
144,2292961,16,TRUE,TRUE,152,2022-11-13T14:00:00Z,90,FALSE,TRUE,2,2,5,1,2,3,75062
145,2292962,16,TRUE,TRUE,153,2022-11-13T16:30:00Z,90,FALSE,TRUE,14,2,9,1,3,2,75063
146,2292972,17,TRUE,TRUE,163,2022-12-26T12:30:00Z,90,FALSE,TRUE,18,2,4,2,3,3,75073
147,2292974,17,TRUE,TRUE,165,2022-12-26T15:00:00Z,90,FALSE,TRUE,9,3,7,0,2,2,75075
148,2292975,17,TRUE,TRUE,166,2022-12-26T15:00:00Z,90,FALSE,TRUE,20,2,8,1,2,2,75076
149,2292977,17,TRUE,TRUE,168,2022-12-26T15:00:00Z,90,FALSE,TRUE,15,3,10,0,3,3,75078
150,2292979,17,TRUE,TRUE,170,2022-12-26T15:00:00Z,90,FALSE,TRUE,5,3,17,1,3,2,75080
151,2292971,17,TRUE,TRUE,162,2022-12-26T17:30:00Z,90,FALSE,TRUE,12,3,2,1,4,2,75072
152,2292970,17,TRUE,TRUE,161,2022-12-26T20:00:00Z,90,FALSE,TRUE,19,1,1,3,2,4,75071
153,2292973,17,TRUE,TRUE,164,2022-12-27T17:30:00Z,90,FALSE,TRUE,3,0,6,2,2,4,75074
154,2292978,17,TRUE,TRUE,169,2022-12-27T20:00:00Z,90,FALSE,TRUE,16,0,14,3,2,4,75079
155,2292976,17,TRUE,TRUE,167,2022-12-28T20:00:00Z,90,FALSE,TRUE,13,3,11,1,5,2,75077
156,2292988,18,TRUE,TRUE,179,2022-12-30T19:45:00Z,90,FALSE,TRUE,4,2,19,0,3,3,75089
157,2292983,18,TRUE,TRUE,174,2022-12-30T20:00:00Z,90,FALSE,TRUE,10,1,12,2,3,4,75084
158,2292989,18,TRUE,TRUE,180,2022-12-31T12:30:00Z,90,FALSE,TRUE,14,1,20,0,3,2,75090
159,2292980,18,TRUE,TRUE,171,2022-12-31T15:00:00Z,90,FALSE,TRUE,7,2,3,0,2,2,75081
160,2292982,18,TRUE,TRUE,173,2022-12-31T15:00:00Z,90,FALSE,TRUE,17,1,9,2,2,2,75083
161,2292984,18,TRUE,TRUE,175,2022-12-31T15:00:00Z,90,FALSE,TRUE,8,1,13,1,2,5,75085
162,2292985,18,TRUE,TRUE,176,2022-12-31T15:00:00Z,90,FALSE,TRUE,11,0,15,0,2,4,75086
163,2292981,18,TRUE,TRUE,172,2022-12-31T17:30:00Z,90,FALSE,TRUE,1,4,5,2,4,3,75082
164,2292987,18,TRUE,TRUE,178,2023-01-01T14:00:00Z,90,FALSE,TRUE,2,2,18,0,2,4,75088
165,2292986,18,TRUE,TRUE,177,2023-01-01T16:30:00Z,90,FALSE,TRUE,6,1,16,1,3,2,75087
166,2292992,19,TRUE,TRUE,183,2023-01-02T17:30:00Z,90,FALSE,TRUE,12,1,4,3,4,3,75093
167,2292990,19,TRUE,TRUE,181,2023-01-03T19:45:00Z,90,FALSE,TRUE,15,0,1,0,3,4,75091
168,2292995,19,TRUE,TRUE,186,2023-01-03T19:45:00Z,90,FALSE,TRUE,5,4,8,1,3,2,75096
169,2292997,19,TRUE,TRUE,188,2023-01-03T19:45:00Z,90,FALSE,TRUE,9,1,10,0,2,3,75098
170,2292998,19,TRUE,TRUE,189,2023-01-03T20:00:00Z,90,FALSE,TRUE,3,0,14,3,2,4,75099
171,2292999,19,TRUE,TRUE,190,2023-01-04T19:30:00Z,90,FALSE,TRUE,16,1,17,0,2,2,75100
172,2292996,19,TRUE,TRUE,187,2023-01-04T19:45:00Z,90,FALSE,TRUE,19,2,11,2,2,2,75097
173,2292991,19,TRUE,TRUE,182,2023-01-04T20:00:00Z,90,FALSE,TRUE,20,1,2,1,2,2,75092
174,2292994,19,TRUE,TRUE,185,2023-01-04T20:00:00Z,90,FALSE,TRUE,18,4,7,0,3,2,75095
175,2292993,19,TRUE,TRUE,184,2023-01-05T20:00:00Z,90,FALSE,TRUE,13,1,6,0,5,4,75094
176,2292873,19,TRUE,TRUE,64,2023-01-12T20:00:00Z,90,FALSE,TRUE,6,1,9,2,3,2,74974
177,2293000,20,TRUE,TRUE,191,2023-01-13T20:00:00Z,90,FALSE,TRUE,11,1,2,2,2,2,75101
178,2293005,20,TRUE,TRUE,196,2023-01-14T12:30:00Z,90,FALSE,TRUE,13,1,14,2,5,4,75106
179,2293002,20,TRUE,TRUE,193,2023-01-14T15:00:00Z,90,FALSE,TRUE,12,0,5,3,4,3,75103
180,2293004,20,TRUE,TRUE,195,2023-01-14T15:00:00Z,90,FALSE,TRUE,17,2,8,1,2,2,75105
181,2293007,20,TRUE,TRUE,198,2023-01-14T15:00:00Z,90,FALSE,TRUE,10,0,16,2,3,2,75108
182,2293009,20,TRUE,TRUE,200,2023-01-14T15:00:00Z,90,FALSE,TRUE,19,0,20,1,2,2,75110
183,2293001,20,TRUE,TRUE,192,2023-01-14T17:30:00Z,90,FALSE,TRUE,3,0,4,2,2,3,75102
184,2293003,20,TRUE,TRUE,194,2023-01-15T14:00:00Z,90,FALSE,TRUE,7,0,6,1,2,4,75104
185,2293006,20,TRUE,TRUE,197,2023-01-15T14:00:00Z,90,FALSE,TRUE,9,0,15,1,2,4,75107
186,2293008,20,TRUE,TRUE,199,2023-01-15T16:30:00Z,90,FALSE,TRUE,1,2,18,0,4,4,75109
187,2292872,20,TRUE,TRUE,63,2023-01-18T20:00:00Z,90,FALSE,TRUE,14,1,7,1,3,2,74973
188,2292877,20,TRUE,TRUE,68,2023-01-19T20:00:00Z,90,FALSE,TRUE,18,2,13,4,3,5,74978
189,2293016,21,TRUE,TRUE,207,2023-01-21T12:30:00Z,90,FALSE,TRUE,6,0,12,0,3,4,75117
